ciclo,desc_ai,desc_capitulo,desc_concepto,desc_ff,desc_funcion,desc_gpo_funcional,desc_modalidad,desc_partida_especifica,desc_partida_generica,desc_pp,desc_ramo,desc_subfuncion,desc_tipogasto,desc_ur,entidad_federativa,gpo_funcional,id_ai,id_capitulo,id_clave_cartera,id_concepto,id_entidad_federativa,id_ff,id_funcion,id_modalidad,id_partida_especifica,id_partida_generica,id_pp,id_ramo,id_subfuncion,id_tipogasto,id_ur,monto_adefas,monto_aprobado,monto_devengado,monto_ejercicio,monto_ejercido,monto_modificado,monto_pagado
2018,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",Servicios Personales,Seguridad Social,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,"Planeación, seguimiento y evaluación de políticas públicas","Seguro de responsabilidad civil, asistencia legal y otros seguros",Aportaciones para seguros,Diseño y aplicación de la política agropecuaria,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Dirección General de Producción Rural Sustentable en Zonas Prioritarias,Ciudad de México,3,9,1000,0,1400,9,1,2,P,14406,144,1,8,1,1,410,,21141.00,,,,21141.00,779.00
2018,Prestaciones sociales y culturales,Servicios Personales,Remuneraciones Adicionales y Especiales,Recursos fiscales,Protección Social,Desarrollo Social,Prestación de servicios públicos,Compensación por actualización y formación académica,Compensaciones,Prestaciones sociales,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Nuevo León,2,11,1000,0,1300,19,1,6,E,13410,134,45,51,9,1,GYN,,949385.00,,,,949385.00,140664.00
2018,Educación media superior de calidad,Servicios Generales,Servicios Básicos,Recursos fiscales,Educación,Desarrollo Social,Prestación de servicios públicos,Contratación de otros servicios,Servicios integrales y otros servicios,Servicios de educación media superior,Educación Pública,Educación Media Superior,Gasto corriente,Dirección General de Educación Tecnológica Industrial,Ciudad de México,2,4,3000,0,3100,9,1,5,E,31902,319,7,11,2,1,611,,100000.00,,,,3860228.00,0.00
2018,Servicios de apoyo administrativo,Servicios Generales,Otros Servicios Generales,Recursos fiscales,Protección Ambiental,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Otros impuestos y derechos,Impuestos y derechos,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Jalisco,Jalisco,2,2,3000,0,3900,14,1,1,M,39202,392,1,16,6,1,134,,25966.00,,,,22211.02,10154.02
2018,Apoyo jurídico a la Secretaría de Gobernación,Servicios Personales,Remuneraciones Adicionales y Especiales,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,"Planeación, seguimiento y evaluación de políticas públicas",Prima quinquenal por años de servicios efectivos prestados,Primas por años de servicios efectivos prestados,Defensa jurídica de la secretaría de gobernación y compilación jurídica nacional y testamentaria ciudadana,Gobernación,Política Interior,Gasto corriente,Unidad General de Asuntos Jurídicos,Ciudad de México,1,17,1000,0,1300,9,1,3,P,13101,131,9,4,2,1,130,,248873.00,,,,248873.00,32460.04
2018,Conservación y Manejo Sustentable de los Ecosistemas y su Biodiversidad,Materiales y Suministros,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",Recursos fiscales,Protección Ambiental,Desarrollo Social,"Planeación, seguimiento y evaluación de políticas públicas",Materiales y útiles de oficina,"Materiales, útiles y equipos menores de oficina","Planeación, dirección y evaluación ambiental",Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Tlaxcala,Tlaxcala,2,7,2000,0,2100,29,1,1,P,21101,211,2,16,6,1,149,,7000.00,,,,7000.00,0.00
2018,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Servicios Generales,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",Recursos fiscales,Protección Social,Desarrollo Social,Sujetos a reglas de operación,Servicios de vigilancia,Servicios de vigilancia,Prospera programa de inclusión social,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación Nacional de PROSPERA Programa de Inclusión Social,Baja California,2,8,3000,0,3300,2,1,6,S,33801,338,72,20,8,7,G00,,0.00,,,,6000.00,0.00
2018,"Democracia preservada y fortalecida mediante la organización de elecciones nacionales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Materiales y Suministros,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Específicos,Material de limpieza,Material de limpieza,Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,Tlaxcala,1,1,2000,0,2100,29,1,3,R,21601,216,3,22,6,1,300,,0.00,,,,0.00,4456.68
2018,Impartir justicia en el ámbito de su competencia,Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Recursos fiscales,Justicia,Gobierno,Específicos,Mantenimiento y conservación de mobiliario y equipo de administración,"Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo",Otras actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Consejo de la Judicatura Federal,Sonora,1,3,3000,0,3500,26,1,2,R,35201,352,1,3,1,1,110,,959006.00,,,,959006.00,146327.55
2018,Producción y Protección Forestal,Servicios Personales,Seguridad Social,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Prestación de servicios públicos,Cuotas para el seguro colectivo de retiro,Aportaciones para seguros,Protección forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Aguascalientes,3,4,1000,0,1400,1,1,2,E,14405,144,14,16,2,1,RHQ,,9761.00,,,,9761.30,2682.30
